Gene_ID	Healthy_012	Healthy_011	Healthy_015	Healthy_013	AcneInversa_ROS11E	AcneInversa_ROS8C1	AcneInversa_ROS4D1
Group	Healthy	Healthy	Healthy	Healthy	Acne_Inversa	Acne_Inversa	Acne_Inversa
ENSG00000258302	3.52525	3.8799	3.70837	3.87737	3.5911	3.69901	3.92913
ENSG00000070961	7.21221	7.07352	7.16572	7.47609	7.21572	7.0262	7.19438
ENSG00000271614	3.56238	3.33294	3.48672	3.85568	3.71513	3.69901	3.92913
ENSG00000257480	0.594126	1.6146	0	1.12288	1.12288	0.495105	0
ENSG00000258216	1.995	1.7588	2.11148	1.28727	0.594126	0.495105	1.35103
ENSG00000257194	3.75493	3.82755	2.83606	2.79686	0.941668	0.495105	0
ENSG00000258183	1.28727	1.92319	0.709973	0.594126	0	0.495105	0
ENSG00000139330	1.08179	0.099021	0.709973	1.28727	1.12288	0.825821	1.35103
ENSG00000139329	7.57137	7.27092	7.18724	7.76833	9.13587	8.8709	9.16633
ENSG00000011465	9.48769	9.37846	9.5452	9.81886	9.83232	9.48769	9.37846
ENSG00000257242	2.9428	2.79686	2.56824	2.73987	3.61926	3.34174	4.07546
ENSG00000133639	7.23397	7.15024	7.26803	6.96376	7.53909	7.30029	7.38592
ENSG00000245904	2.52714	3.15194	3.2764	2.11148	3.64315	3.22084	4.20691
ENSG00000239201	1.28727	0.594126	0	0	1.12288	0.825821	1.90412
ENSG00000277851	1.08179	0.767897	1.28727	1.12288	2.38489	2.37246	3.77007
ENSG00000205056	1.53646	1.47854	1.44666	1.58855	4.11188	3.66991	5.00147
ENSG00000214215	2.64471	2.5067	2.64471	2.21574	2.9428	2.73215	3.42958
ENSG00000187510	3.56238	2.90853	3.31449	3.28578	3.34174	3.12896	3.31449
ENSG00000102189	7.00292	6.50916	6.82685	6.97141	6.9311	6.68219	6.68411
ENSG00000258012	3.58076	3.79921	3.94438	4.02141	3.55144	3.83648	3.62254
ENSG00000257195	2.92948	2.48625	2.77364	2.8274	2.37246	2.54916	2.58731
ENSG00000257345	0.594126	0.594126	0.709973	0	0.594126	1.28727	2.15841
ENSG00000257322	1.53646	1.7588	1.7588	1.66669	1.12288	1.28727	1.35103
ENSG00000257746	1.53646	2.32255	0.396084	0.495105	0.594126	0.941668	0.099021
ENSG00000258171	1.08179	0.594126	1.28727	0.495105	0.594126	1.44666	2.15841
ENSG00000257252	1.08179	2.72349	0.709973	1.90412	1.53646	1.7588	2.53773
ENSG00000173598	6.0151	5.95322	5.76369	5.83446	5.58024	5.6144	5.56473
ENSG00000177889	6.22895	6.27474	6.11675	6.09729	6.24148	6.11238	6.28433
ENSG00000198015	6.67086	6.57849	6.53408	6.63268	6.44981	6.17303	6.22138
ENSG00000246985	3.00297	3.05871	3.25142	2.9428	3.33294	3.12896	3.22667
ENSG00000120833	4.88862	5.12572	4.57277	4.8382	4.86909	4.73682	5.01106
ENSG00000169372	5.66683	5.86261	5.40174	5.22523	4.57405	4.96748	4.89822
ENSG00000258274	4.6095	4.64946	4.33978	4.37462	4.07125	3.90859	3.87737
ENSG00000264978	2.85076	2.72349	2.22936	2.35884	2.32255	2.32255	2.85809
ENSG00000258303	2.80502	2.78913	2.11148	2.2965	1.90412	1.995	2.15841
ENSG00000257283	2.53773	2.18708	2.11148	2.22936	1.84394	1.995	1.66669
ENSG00000271382	2.0309	1.6146	2.5067	1.6146	1.6146	2.5067	2.15841
ENSG00000136040	6.13695	5.70214	6.12108	6.19101	7.75803	7.70817	8.0517
ENSG00000258035	0	1.24618	1.28727	0	2.11148	2.51728	2.15841
ENSG00000258172	1.53646	0.767897	1.6146	1.90412	2.01407	2.68864	3.31449
ENSG00000258365	2.38489	2.34641	2.56824	2.54916	3.29079	3.06506	3.00962
ENSG00000173588	5.73537	5.27216	5.30461	5.6892	5.78278	5.59659	5.66629
ENSG00000244391	2.54916	2.32255	2.11148	1.97817	1.90412	2.99689	2.54916
ENSG00000213250	1.28727	1.24618	0.396084	0	1.12288	1.28727	2.15841
ENSG00000278916	2.0309	0.825821	1.6146	0.495105	1.6146	1.90412	2.32255
ENSG00000236349	1.08179	1.6146	0.396084	1.28727	1.53646	0.396084	1.35103
